NGI ID	User ID	Mreads	>=Q30
P14459_101	VC1.01	25.42	89.92
P14459_102	VC1.02	0.31	86.99
P14459_103	VC1.03	25.05	89.91
P14459_104	VC1.04	25.91	89.65
P14459_105	VC1.05	24.51	89.54
P14459_106	VC1.06	17.74	84.52
P14459_107	VC1.07	18.21	89.47
P14459_108	VC1.08	27.24	89.64
P14459_109	VC1.09	21.62	90.18
P14459_110	VC1.10	12.63	89.3
P14459_111	VC1.11	16.44	88.94
P14459_112	VC1.12	1.17	89.28
P14459_113	VC1.13	15.42	88.11
P14459_114	VC1.14	9.44	88.24
P14459_115	VC1.15	8.71	88.63
P14459_116	VC1.16	4.59	90.2
P14459_117	VC1.17	33.06	89.53
P14459_118	VC1.18	32.32	89.48
P14459_119	VC1.19	33.87	89.99
P14459_120	VC1.20	24.60	89.19
P14459_121	VC1.21	24.99	89.62
P14459_122	VC1.22	17.20	88.52
P14459_123	VC1.23	21.27	89.35
P14459_124	VC1.24	20.88	89.36
P14459_125	VC1.25	26.83	89.99
P14459_126	VC1.26	15.04	89.7
P14459_127	VC1.27	19.22	84.83
P14459_128	VC1.28	21.45	89.8
P14459_129	VC1.29	13.78	71.39
P14459_130	VC1.30	28.58	89.52
P14459_131	VC1.31	16.56	89.63
P14459_132	VC1.33	18.90	89.68
P14459_133	VC1.34	0.32	87.75
P14459_134	VC1.35	21.96	89.83
P14459_135	VC1.36	21.36	89.41
P14459_136	VC1.37	24.21	90.3
P14459_137	VC1.38	34.86	89.67
P14459_138	VC1.39	20.75	90.07
P14459_139	VC1.40	9.29	87.54
P14459_140	VC1.43	23.72	88.93
P14459_141	VC1.44	19.65	89.45
P14459_142	VC1.45	18.32	89.53
P14459_143	VC1.46	0.49	88.48
P14459_144	VC1.47	18.60	89.48
P14459_145	VC1.48	32.00	89.37
P14459_146	VC1.49	11.34	84.91
P14459_147	VC1.50	13.35	88.71
P14459_148	VC1.51	25.98	89.75
P14459_149	VC1.52	29.80	89.9
P14459_150	VC1.53	26.63	89.85
P14459_151	VC1.55	21.52	90.0
P14459_152	VC1.56	21.86	89.89
P14459_153	VC1.57	16.49	89.44
P14459_154	VC1.58	13.07	89.05
P14459_155	VC1.59	20.83	89.94
P14459_156	VC1.60	24.89	89.86
P14459_157	VC1.61	11.86	87.7
P14459_158	VC1.62	14.33	89.1
P14459_159	VC1.63	15.85	90.21
P14459_160	VC1.64	20.16	90.0
P14459_161	VC1.65	18.08	89.94
P14459_162	VC1.66	8.81	87.62
P14459_163	VC1.67	9.93	89.46
P14459_164	VC1.68	12.12	89.09
P14459_165	VC1.69	0.17	85.81
P14459_166	VC1.70	25.16	88.62
P14459_167	VC1.71	24.69	90.05
P14459_168	VC1.72	21.23	89.69
P14459_169	VC1.73	19.64	89.82
P14459_170	VC1.74	19.76	89.16
P14459_171	VC1.75	20.12	89.85
P14459_172	VC1.76	0.92	88.73
P14459_173	VC1.77	3.43	88.86
P14459_174	VC1.78	17.85	86.33
P14459_175	VC1.79	0.43	87.92
P14459_176	VC1.80	18.72	89.49
P14459_177	VC1.81	24.13	89.67
P14459_178	VC1.82	15.97	89.19
P14459_179	VC1.83	12.16	88.6
P14459_180	VC1.84	13.84	83.11
P14459_181	VC1.85	1.83	90.04
P14459_182	VC1.86	22.80	89.9
P14459_183	VC1.87	26.86	90.17
P14459_184	VC1.88	21.23	89.75
P14459_185	VC1.89	22.28	89.75
P14459_186	VC1.90	13.10	89.09
P14459_187	VC1.91	11.91	89.07
P14459_188	VC1.92	19.82	89.94
P14459_189	VC1.93	3.55	90.07
P14459_190	VC1.94	13.53	89.97
P14459_191	VC1.95	30.76	90.29
P14459_192	VC1.96	20.96	90.01
P14459_193	VC1.97	22.59	89.13
P14459_194	VC1.98	19.96	89.22
P14459_195	VC1.99	20.47	89.92
P14459_196	VC1.adult	41.78	91.21
