length_LINE	length_SINE	length_DNA	length_LTR
282226	111073	47977	14580
253107	144531	52073	36159
175637	98842	57361	29420
153677	102025	53486	17782
176787	96453	41085	24251
165533	81783	45137	22792
145825	97890	39665	30431
179346	100022	40788	27617
103658	53001	19825	7257
324125	163114	56544	56834
214647	121806	41357	50036
225619	113672	43626	21191
168465	102606	38053	29257
154821	83294	39908	33712
193220	116659	48882	59405
252938	165699	47837	35468
212507	129602	46472	56848
99409	35304	8795	3465
203885	98812	38466	43380
293869	161756	58874	46581
171538	100878	40664	27204
216630	103557	56909	57841
185785	111051	43091	8901
205137	124558	50626	49077
309935	163281	54591	49895
348541	188014	49679	48074
35492	16212	4347	3486
390509	112937	44523	54651
304447	143022	53640	90468
241635	94038	43612	64909
153049	80662	37388	47727
236120	121358	53185	45690
251906	138809	57887	37290
240157	164947	48431	25856
322886	172659	69860	59359
9857	1176	1672	5397
305755	174881	51718	83675
280103	145854	52488	22121
246486	133048	49769	37923
152225	77357	32953	14605
160196	98102	40844	44934
258743	120410	37491	27588
310203	150362	47051	33202
236548	152095	40517	33480
0	0	0	0
292313	154897	63712	43412
303535	146669	54205	55277
231315	123620	49433	59201
260709	150452	46374	24211
247480	124653	53604	33653
368090	150705	52223	57773
209797	122611	54689	45075
323002	178166	54760	44313
321322	146527	48543	42922
177430	103646	38385	16881
203096	114498	50431	23339
173116	85332	45095	33655
177676	104078	44444	47780
302125	162773	64145	43668
300473	158616	70469	53086
264119	150573	42134	58522
294985	145380	49063	45801
257585	179761	56555	33429
154887	110756	36075	20677
177022	84809	47992	25578
134650	87824	32134	21668
177850	78283	38182	26734
227213	142784	56317	25304
184328	89972	23540	38876
312117	176976	57572	56661
355906	191431	74508	48762
287045	155397	66197	25224
215500	89451	55679	31890
185470	90514	37280	48634
196131	98725	36061	31511
304589	165544	64885	58523
206816	106691	41781	25087
343140	188203	61303	59679
284791	173134	47855	39463
252443	147145	57027	31254
179070	90704	30738	37696
216660	106246	42699	27572
206884	115481	56056	55404
303596	175446	54075	47889
172341	82262	25536	20012
328988	186181	63175	36343
476499	92500	84282	75408
456383	111006	83335	68280
318332	172512	69049	45057
254274	140064	69956	42517
269659	152318	63315	29452
313381	189275	62812	37925
139033	75235	37906	21388
241523	112464	39614	48021
250656	127371	44933	24982
181725	124415	43492	14905
143844	66271	33913	17860
200282	113991	47323	28350
210464	144006	56411	32759
200970	136291	47689	38396
105265	57908	23096	12572
246555	128347	61660	22874
302744	184329	65124	38022
180341	107537	49741	37850
225664	120836	38703	49984
267282	138703	76432	38871
274746	159001	49320	45825
343501	182278	63560	52241
177935	55853	25256	38245
398407	171032	66646	68287
375969	180996	64241	60394
204961	129266	40782	19033
221060	119298	64468	46178
248729	132078	45696	52602
208470	121905	40022	31127
319518	182200	50699	58975
81990	42792	11260	25197
346354	183241	68561	55622
281719	181507	62755	36006
280060	161721	49743	47458
260227	123282	41264	22959
151618	66589	29821	37686
175531	87854	37146	21969
292738	160837	76986	59463
77070	38613	17923	4023
283874	178854	50390	22667
348327	187095	54494	44321
227795	133662	42500	25387
172526	93253	43993	35948
185498	111990	34469	17985
248347	150176	59589	55677
359123	182295	68497	38804
936641	10975	51449	294695
917285	16441	66437	305878
799410	16819	79552	283452
676626	17710	78341	274330
917670	19005	52078	309516
892956	16400	60080	246450
860467	13492	45903	275324
239011	155872	43138	26834
271903	163892	62408	38503
221951	142771	37526	26275
219827	103003	51591	46471
174094	97020	41104	14392
264800	145226	48211	25054
256733	147632	51136	34339
334364	173487	52376	40872
278973	154227	60158	26610
165990	87420	43096	25216
208864	134122	37920	50429
289749	165522	52880	39897
264954	168986	65695	25832
219132	131163	43985	28954
347759	177550	59448	61970
267637	168701	58261	21064
207091	138838	46109	41046
240424	140758	41985	42838
196279	129468	58588	26955
308786	191924	63964	34147
185633	109422	30322	26311
437704	193497	76206	64713
285254	166849	156967	63801
238102	149879	73599	36561
286562	122367	90234	123361
284542	188684	65967	25852
288642	149587	114821	98447
80919	37207	19283	9116
244478	138505	62360	25682
324694	194191	61159	43132
217435	116960	54304	23524
233710	144164	65318	37510
266164	142326	51769	37047
306960	186294	54593	38482
122176	67321	16635	21574
427654	126177	100870	59789
361746	220037	74136	51378
234366	155483	59668	22446
228995	130255	53348	39805
251856	157348	54186	39863
316818	177977	52745	31253
83910	33086	8274	7098
381142	203887	79908	55405
379203	231055	67506	29317
346158	178741	63285	40939
383053	206719	71112	60611
334924	199714	76882	39207
302749	168985	39818	42717
489280	198499	64110	53050
369969	182283	91165	66064
325859	192935	69803	52137
270928	141702	58363	29086
367658	209387	75987	34594
251558	129010	40992	24153
473340	160566	49791	39001
312268	178960	61059	33762
281549	155268	82779	51508
316444	154951	144220	58755
440496	235723	97791	57297
239442	117502	38043	25908
359799	176576	64722	53541
285211	178507	58853	38772
263734	181628	60246	35263
248355	167870	50558	38035
339104	199264	61075	63250
410681	241351	71947	43172
357527	169795	69883	82678
378497	236478	69259	57040
373209	223732	85345	50894
319767	169599	60293	35100
508426	203234	81052	62725
402562	235120	77076	33593
387976	214551	85787	45523
384703	218511	91629	56187
46627	7876	1604	5119
405863	219662	125651	56892
412603	117125	185298	119200
404836	142259	153129	100705
474566	229730	172968	69469
57264	18637	4802	2734
457349	227088	100259	70082
440493	249485	109809	53267
492537	281920	98669	38227
299846	150774	72409	44840
501974	254991	149258	73441
420395	192976	160036	95888
421266	202854	112060	91526
31147	2641	4879	17663
