#Vcard - LR999924.1 - loess:new("MMLoess", name = "loess", visible = TRUE, persistent = TRUE, color = "#61FF00", span = 0.3, degree = as.integer(1))
#Vcard - LR999925.1 - loess:new("MMLoess", name = "loess", visible = TRUE, persistent = TRUE, color = "#61FF00", span = 0.3, degree = as.integer(1))
#Vcard - LR999926.1 - loess:new("MMLoess", name = "loess", visible = TRUE, persistent = TRUE, color = "#61FF00", span = 0.3, degree = as.integer(1))
#Vcard - LR999927.1 - loess:new("MMLoess", name = "loess", visible = TRUE, persistent = TRUE, color = "#61FF00", span = 0.3, degree = as.integer(1))
#Vcard - LR999928.1 - loess:new("MMLoess", name = "loess", visible = TRUE, persistent = TRUE, color = "#61FF00", span = 0.3, degree = as.integer(1))
#Vcard - LR999929.1 - loess:new("MMLoess", name = "loess", visible = TRUE, persistent = TRUE, color = "#61FF00", span = 0.3, degree = as.integer(1))
#Vcard - LR999930.1 - loess:new("MMLoess", name = "loess", visible = TRUE, persistent = TRUE, color = "#61FF00", span = 0.3, degree = as.integer(1))
#Vcard - LR999931.1 - loess:new("MMLoess", name = "loess", visible = TRUE, persistent = TRUE, color = "#61FF00", span = 0.3, degree = as.integer(1))
#Vcard - LR999932.1 - loess:new("MMLoess", name = "loess", visible = TRUE, persistent = TRUE, color = "#61FF00", span = 0.3, degree = as.integer(1))
#Vcard - LR999933.1 - loess:new("MMLoess", name = "loess", visible = TRUE, persistent = TRUE, color = "#61FF00", span = 0.3, degree = as.integer(1))
#Vcard - LR999934.1 - loess:new("MMLoess", name = "loess", visible = TRUE, persistent = TRUE, color = "#61FF00", span = 0.3, degree = as.integer(1))
#Vcard - LR999935.1 - loess:new("MMLoess", name = "loess", visible = TRUE, persistent = TRUE, color = "#61FF00", span = 0.3, degree = as.integer(1))
#Vcard - LR999936.1 - loess:new("MMLoess", name = "loess", visible = TRUE, persistent = TRUE, color = "#61FF00", span = 0.3, degree = as.integer(1))
#Vcard - LR999937.1 - loess:new("MMLoess", name = "loess", visible = TRUE, persistent = TRUE, color = "#61FF00", span = 0.3, degree = as.integer(1))
#Vcard - LR999938.1 - loess:new("MMLoess", name = "loess", visible = TRUE, persistent = TRUE, color = "#61FF00", span = 0.3, degree = as.integer(1))
#Vcard - LR999939.1 - loess:new("MMLoess", name = "loess", visible = TRUE, persistent = TRUE, color = "#61FF00", span = 0.3, degree = as.integer(1))
#Vcard - LR999941.1 - loess:new("MMLoess", name = "loess", visible = TRUE, persistent = TRUE, color = "#61FF00", span = 0.3, degree = as.integer(1))
#Vcard - LR999942.1 - loess:new("MMLoess", name = "loess", visible = TRUE, persistent = TRUE, color = "#61FF00", span = 0.3, degree = as.integer(1))
#Vcard - LR999943.1 - loess:new("MMLoess", name = "loess", visible = TRUE, persistent = TRUE, color = "#61FF00", span = 0.3, degree = as.integer(1))
#Vcard - LR999944.1 - loess:new("MMLoess", name = "loess", visible = TRUE, persistent = TRUE, color = "#61FF00", span = 0.3, degree = as.integer(1))
#Vcard - LR999945.1 - loess:new("MMLoess", name = "loess", visible = TRUE, persistent = TRUE, color = "#61FF00", span = 0.3, degree = as.integer(1))
#Vcard - LR999946.1 - loess:new("MMLoess", name = "loess", visible = TRUE, persistent = TRUE, color = "#61FF00", span = 0.3, degree = as.integer(1))
#Vcard - LR999947.1 - loess:new("MMLoess", name = "loess", visible = TRUE, persistent = TRUE, color = "#61FF00", span = 0.3, degree = as.integer(1))
#Vcard - LR999948.1 - loess:new("MMLoess", name = "loess", visible = TRUE, persistent = TRUE, color = "#61FF00", span = 0.3, degree = as.integer(1))
#Vcard - LR999949.1 - loess:new("MMLoess", name = "loess", visible = TRUE, persistent = TRUE, color = "#61FF00", span = 0.3, degree = as.integer(1))
#Vcard - LR999950.1 - loess:new("MMLoess", name = "loess", visible = TRUE, persistent = TRUE, color = "#61FF00", span = 0.3, degree = as.integer(1))
#Vcard - LR999951.1 - loess:new("MMLoess", name = "loess", visible = TRUE, persistent = TRUE, color = "#61FF00", span = 0.3, degree = as.integer(1))
#Vcard - LR999952.1 - loess:new("MMLoess", name = "loess", visible = TRUE, persistent = TRUE, color = "#61FF00", span = 0.3, degree = as.integer(1))
#Vcard - LR999953.1 - loess:new("MMLoess", name = "loess", visible = TRUE, persistent = TRUE, color = "#61FF00", span = 0.5, degree = as.integer(1))
#Vcard - LR999954.1 - loess:new("MMLoess", name = "loess", visible = TRUE, persistent = TRUE, color = "#61FF00", span = 0.5, degree = as.integer(1))
#Vcard - LR999955.1 - loess:new("MMLoess", name = "loess", visible = TRUE, persistent = TRUE, color = "#61FF00", span = 0.5, degree = as.integer(1))

"set" "map" "mkr" "phys" "gen" "vld" "loess"
"Vcard" "LR999924.1" "30620" 377125 2.247 TRUE NA
"Vcard" "LR999924.1" "30623" 406335 2.247 TRUE 2.65
"Vcard" "LR999924.1" "30655" 860158 1.124 TRUE 2.98
"Vcard" "LR999924.1" "30667" 943192 2.247 TRUE 2.85
"Vcard" "LR999924.1" "30670" 1025807 1.124 TRUE 2.78
"Vcard" "LR999924.1" "30707" 1355885 0 TRUE 3.15
"Vcard" "LR999924.1" "30714" 1368699 1.124 TRUE 3.12
"Vcard" "LR999924.1" "30737" 1413489 3.371 TRUE 3.04
"Vcard" "LR999924.1" "30758" 1535701 3.371 TRUE 2.92
"Vcard" "LR999924.1" "30764" 1759480 4.495 TRUE 3.06
"Vcard" "LR999924.1" "30778" 1957469 4.495 TRUE 3.57
"Vcard" "LR999924.1" "30782" 2038850 4.495 TRUE 3.42
"Vcard" "LR999924.1" "30825" 2449320 4.495 TRUE 3.92
"Vcard" "LR999924.1" "30829" 2544255 4.495 TRUE 4.32
"Vcard" "LR999924.1" "30834" 2568399 4.495 TRUE 4.44
"Vcard" "LR999924.1" "30836" 2643022 4.495 TRUE 4.85
"Vcard" "LR999924.1" "30841" 2683873 4.495 TRUE 4.62
"Vcard" "LR999924.1" "30852" 3066341 10.384 TRUE 3.36
"Vcard" "LR999924.1" "30857" 3149285 12.657 TRUE 3.31
"Vcard" "LR999924.1" "30869" 3376611 12.657 TRUE 3.57
"Vcard" "LR999924.1" "30886" 3516889 13.78 TRUE 4.02
"Vcard" "LR999924.1" "30903" 3695543 12.657 TRUE 4.78
"Vcard" "LR999924.1" "30939" 4133314 12.657 TRUE 5.13
"Vcard" "LR999924.1" "30969" 4384763 12.657 TRUE 4.36
"Vcard" "LR999924.1" "30980" 4678283 12.657 TRUE 4.54
"Vcard" "LR999924.1" "30991" 4702483 12.657 TRUE 4.53
"Vcard" "LR999924.1" "31006" 4710946 12.657 TRUE 4.53
"Vcard" "LR999924.1" "31009" 5288565 20.935 TRUE 4.22
"Vcard" "LR999924.1" "31014" 5290447 20.935 TRUE 4.22
"Vcard" "LR999924.1" "31024" 5710951 23.209 TRUE 3.93
"Vcard" "LR999924.1" "31039" 5869286 23.209 TRUE 3.81
"Vcard" "LR999924.1" "31047" 6151034 23.209 TRUE 3.59
"Vcard" "LR999924.1" "31058" 6257108 23.209 TRUE 3.73
"Vcard" "LR999924.1" "31064" 6378354 23.209 TRUE 3.77
"Vcard" "LR999924.1" "31082" 6765789 23.209 TRUE 2.97
"Vcard" "LR999924.1" "31104" 6777292 23.209 TRUE 2.92
"Vcard" "LR999924.1" "31127" 6958456 25.482 TRUE 2.05
"Vcard" "LR999924.1" "31136" 7077811 25.482 TRUE 2.07
"Vcard" "LR999924.1" "31143" 7128928 25.482 TRUE 2.09
"Vcard" "LR999924.1" "31160" 7438933 25.482 TRUE 2.36
"Vcard" "LR999924.1" "31169" 7471337 25.482 TRUE 2.4
"Vcard" "LR999924.1" "31172" 7539520 25.482 TRUE 2.5
"Vcard" "LR999924.1" "31183" 7792601 26.605 TRUE 2.52
"Vcard" "LR999924.1" "31188" 7885203 26.605 TRUE 2.53
"Vcard" "LR999924.1" "31208" 8462188 27.729 TRUE 2.61
"Vcard" "LR999924.1" "31253" 8521728 28.853 TRUE 2.56
"Vcard" "LR999924.1" "31258" 8522287 28.853 TRUE 2.56
"Vcard" "LR999924.1" "31269" 8825030 28.853 TRUE 2.6
"Vcard" "LR999924.1" "31275" 8877484 29.976 TRUE 2.55
"Vcard" "LR999924.1" "31280" 8931014 29.976 TRUE 2.5
"Vcard" "LR999924.1" "31284" 9016444 29.976 TRUE 2.45
"Vcard" "LR999924.1" "31292" 9080263 29.976 TRUE 2.44
"Vcard" "LR999924.1" "31296" 9212157 29.976 TRUE 2.47
"Vcard" "LR999924.1" "31300" 9405925 31.1 TRUE 2.25
"Vcard" "LR999924.1" "31306" 9537289 29.976 TRUE 2.14
"Vcard" "LR999924.1" "31312" 9730780 32.224 TRUE 2.03
"Vcard" "LR999924.1" "31322" 9955418 32.224 TRUE 1.97
"Vcard" "LR999924.1" "31339" 10204502 32.224 TRUE 2.01
"Vcard" "LR999924.1" "31350" 10349746 33.347 TRUE 1.96
"Vcard" "LR999924.1" "31354" 10690222 33.347 TRUE 1.87
"Vcard" "LR999924.1" "31364" 10948231 33.347 TRUE 1.82
"Vcard" "LR999924.1" "31395" 11458023 34.471 TRUE 1.78
"Vcard" "LR999924.1" "31435" 12107611 35.594 TRUE 1.82
"Vcard" "LR999924.1" "31442" 12174530 35.594 TRUE 1.83
"Vcard" "LR999924.1" "31458" 12536587 36.718 TRUE 1.85
"Vcard" "LR999924.1" "31463" 12542911 36.718 TRUE 1.85
"Vcard" "LR999924.1" "31478" 12558173 36.718 TRUE 1.85
"Vcard" "LR999924.1" "31488" 12764339 36.718 TRUE 1.85
"Vcard" "LR999924.1" "31497" 12927638 36.718 TRUE 1.93
"Vcard" "LR999924.1" "31503" 12998573 37.842 TRUE 2.01
"Vcard" "LR999924.1" "31508" 13121102 37.842 TRUE 2.02
"Vcard" "LR999924.1" "31514" 13124031 37.842 TRUE 2.02
"Vcard" "LR999924.1" "31518" 13151566 37.842 TRUE 2
"Vcard" "LR999924.1" "31521" 13157796 37.842 TRUE 1.99
"Vcard" "LR999924.1" "31526" 13302247 37.842 TRUE 2.04
"Vcard" "LR999924.1" "31558" 13849108 38.965 TRUE 2.19
"Vcard" "LR999924.1" "31572" 14250829 40.089 TRUE 2.27
"Vcard" "LR999924.1" "31610" 15951777 44.662 TRUE 2.24
"Vcard" "LR999924.1" "31618" 16014197 43.539 TRUE 2.23
"Vcard" "LR999924.1" "31623" 16051188 44.662 TRUE 2.23
"Vcard" "LR999924.1" "31627" 16210768 44.662 TRUE 2.23
"Vcard" "LR999924.1" "31636" 16341255 44.662 TRUE 2.23
"Vcard" "LR999924.1" "31639" 16496963 45.786 TRUE 2.24
"Vcard" "LR999924.1" "31653" 16942312 45.786 TRUE NA
"Vcard" "LR999925.1" "2" 528242 0 TRUE NA
"Vcard" "LR999925.1" "14" 642951 3.45 TRUE 5.5
"Vcard" "LR999925.1" "16" 895336 3.45 TRUE 5.57
"Vcard" "LR999925.1" "51" 1347737 5.723 TRUE 5.55
"Vcard" "LR999925.1" "83" 2147235 9.172 TRUE 5.65
"Vcard" "LR999925.1" "91" 2154642 9.172 TRUE 5.61
"Vcard" "LR999925.1" "97" 2251350 10.296 TRUE 5.4
"Vcard" "LR999925.1" "105" 2257891 10.296 TRUE 5.41
"Vcard" "LR999925.1" "113" 2339583 10.296 TRUE 5.72
"Vcard" "LR999925.1" "146" 2759549 14.951 TRUE 5.52
"Vcard" "LR999925.1" "170" 2818129 14.951 TRUE 5.52
"Vcard" "LR999925.1" "180" 2834229 14.951 TRUE 5.52
"Vcard" "LR999925.1" "208" 3118526 14.951 TRUE 5.66
"Vcard" "LR999925.1" "244" 3194013 17.224 TRUE 5.63
"Vcard" "LR999925.1" "271" 3569231 17.224 TRUE 5.53
"Vcard" "LR999925.1" "312" 4193449 20.673 TRUE 5.43
"Vcard" "LR999925.1" "354" 4462433 21.797 TRUE 5.41
"Vcard" "LR999925.1" "367" 4567004 24.07 TRUE 5.16
"Vcard" "LR999925.1" "396" 4712335 25.194 TRUE 5.25
"Vcard" "LR999925.1" "399" 4712674 25.194 TRUE 5.25
"Vcard" "LR999925.1" "432" 5091903 26.317 TRUE 4.5
"Vcard" "LR999925.1" "447" 5092232 26.317 TRUE 4.5
