"set" "map" "mkr" "phys" "gen" "vld" "loess" "wind_2mb" "wind_2mb_4mkr" "chr_length" "chr_start" "genome_pos" "rel_pos" "pos_group" "chr_type"
"1" "Vcard" "LR999924.1" 30620 377125 2.247 FALSE NA NA NA 17040296 0 377125 2.21313643847501 "5" "Z"
"2" "Vcard" "LR999924.1" 30623 406335 2.247 FALSE 2.65 NA NA 17040296 0 406335 2.38455364859859 "5" "Z"
"3" "Vcard" "LR999924.1" 30655 860158 1.124 TRUE 2.98 2.94 0.93 17040296 0 860158 5.04778790227588 "5" "Z"
"4" "Vcard" "LR999924.1" 30667 943192 2.247 TRUE 2.85 2.94 0.93 17040296 0 943192 5.53506817017733 "5" "Z"
"5" "Vcard" "LR999924.1" 30670 1025807 1.124 TRUE 2.78 3.17 1.39 17040296 0 1025807 6.01988956060388 "5" "Z"
"6" "Vcard" "LR999924.1" 30707 1355885 0 TRUE 3.15 3.15 1.62 17040296 0 1355885 7.95693337721363 "5" "Z"
"7" "Vcard" "LR999924.1" 30714 1368699 1.124 TRUE 3.12 3.15 1.62 17040296 0 1368699 8.03213160146983 "5" "Z"
"8" "Vcard" "LR999924.1" 30737 1413489 3.371 TRUE 3.04 3.15 3.15 17040296 0 1413489 8.29497914824954 "5" "Z"
"9" "Vcard" "LR999924.1" 30758 1535701 3.371 TRUE 2.92 2.65 2.65 17040296 0 1535701 9.01217326271797 "5" "Z"
"10" "Vcard" "LR999924.1" 30764 1759480 4.495 TRUE 3.06 2.03 2.03 17040296 0 1759480 10.3254074929215 "4" "Z"
"11" "Vcard" "LR999924.1" 30778 1957469 4.495 TRUE 3.57 2.17 2.17 17040296 0 1957469 11.4872945869015 "4" "Z"
"12" "Vcard" "LR999924.1" 30782 2038850 4.495 TRUE 3.42 2.07 2.07 17040296 0 2038850 11.9648743190846 "4" "Z"
"13" "Vcard" "LR999924.1" 30825 2449320 4.495 TRUE 3.92 4.86 4.86 17040296 0 2449320 14.3736939780858 "4" "Z"
"14" "Vcard" "LR999924.1" 30829 2544255 4.495 TRUE 4.32 6.05 6.05 17040296 0 2544255 14.9308145820941 "4" "Z"
"15" "Vcard" "LR999924.1" 30834 2568399 4.495 TRUE 4.44 6.05 6.05 17040296 0 2568399 15.0725022616978 "4" "Z"
