"chrom" "begin" "end" "loess" "wind_2mb" "loess_sd" "wd_sd" "mkr" "chr_length" "chr_type" "rel_pos" "pos_group" "feat_length_CDS" "feat_length_SINE" "feat_length_DNA" "feat_length_LINE" "feat_length_LTR" "feat_length_rpt" "feat_length_gc" "occ_length_CDS" "occ_length_SINE" "occ_length_DNA" "occ_length_LINE" "occ_length_LTR" "occ_length_rpt" "occ_length_gc"
"1" "LR999924.1" 1 2000000 3.012 2.81666666666667 0.250723397835587 0.440652924647051 11 17040296 "Z" 0.0586844559507652 "5" 116658 111073 47977 282226 14580 604198 0.357385 0.058329 0.0555365 0.0239885 0.141113 0.00729 0.302099 0.357385
"2" "LR999924.1" 2000001 4000000 4.05545454545455 5.84636363636364 0.582346351175375 2.6848399308982 11 17040296 "Z" 0.176053309167869 "4" 36238 144531 52073 253107 36159 674387 0.323664 0.018119 0.0722655 0.0260365 0.1265535 0.0180795 0.3371935 0.323664
"3" "LR999924.1" 4000001 6000000 4.36333333333333 6.15375 0.388844441904472 3.64937152123486 9 17040296 "Z" 0.293422162384973 "3" 104206 98842 57361 175637 29420 543342 0.320664 0.052103 0.049421 0.0286805 0.0878185 0.01471 0.271671 0.320664
"4" "LR999924.1" 6000001 8000000 2.73076923076923 2.13615384615385 0.61949524532022 0.27497086092707 13 17040296 "Z" 0.410791015602076 "1" 105762 102025 53486 153677 17782 493178 0.320596 0.052881 0.0510125 0.026743 0.0768385 0.008891 0.246589 0.320596
"5" "LR999924.1" 8000001 10000000 2.39461538461538 2.53461538461538 0.221420240892569 0.239256326444234 13 17040296 "Z" 0.52815986881918 "1" 122558 96453 41085 176787 24251 519161 0.31786 0.061279 0.0482265 0.0205425 0.0883935 0.0121255 0.2595805 0.31786
"6" "LR999924.1" 10000001 12000000 1.888 1.666 0.0957601169589928 0.302456608458139 5 17040296 "Z" 0.645528722036284 "2" 87691 81783 45137 165533 22792 485428 0.318933 0.0438455 0.0408915 0.0225685 0.0827665 0.011396 0.242714 0.318933
"7" "LR999924.1" 12000001 14000000 1.94642857142857 1.99285714285714 0.109094676092137 0.0544099215257619 14 17040296 "Z" 0.762897575253388 "3" 61772 97890 39665 145825 30431 467813 0.318563 0.030886 0.048945 0.0198325 0.0729125 0.0152155 0.2339065 0.318563
"8" "LR999924.1" 14000001 16000000 2.255 2.055 0.0212132034355963 0.417193000900063 2 17040296 "Z" 0.880266428470491 "4" 111141 100022 40788 179346 27617 506113 0.325422 0.0555705 0.050011 0.020394 0.089673 0.0138085 0.2530565 0.325422
"9" "LR999924.1" 16000001 17040296 2.232 1.76 0.00447213595499968 0 6 17040296 "Z" 0.969475442210628 "5" 46048 53001 19825 103658 7257 253834 0.346551 0.0442643247691042 0.050947999415551 0.0190570760629667 0.0996427939740228 0.00697589916716012 0.24400170720641 0.346551
"10" "LR999925.1" 1 2000000 5.54 5.4875 0.03605551275464 0.365 4 16607008 "Autosome" 0.0602155728473184 "5" 44984 163114 56544 324125 56834 805478 0.335227 0.022492 0.081557 0.028272 0.1620625 0.028417 0.402739 0.335227
