map loess loess_sd map_length wind_2mb wind_2mb_sd chr_length chr_start rate markers marker_density chr_type
1 LR999924.1 2.84134146341463 0.922691663913044 45.786 3.09271604938272 2.19076699602313 17.040296 0 2.68692515669916 84 4.92949183511836 Z
2 LR999925.1 3.36727272727273 1.56452356518334 53.6 3.54738461538462 1.98954869012664 16.607008 17040296 3.22755309083972 68 4.0946569062892 Autosome
3 LR999926.1 3.97810344827586 2.17833547985496 65.274 3.10275862068966 2.55621622311383 16.362069 33647304 3.98934877979062 60 3.66701790586508 Autosome
4 LR999927.1 3.45903225806452 2.11753546019231 42.403 3.15269841269841 2.25972036976117 16.090551 50009373 2.63527333526366 64 3.97748964594189 Autosome
5 LR999928.1 3.34246376811594 1.72997144297843 54.186 3.24823529411765 2.14830717193896 16.000791 66099924 3.38645758200329 71 4.43728063193876 Autosome
6 LR999929.1 2.81404761904762 1.65233767812611 42.855 3.12928571428571 2.63844225370433 15.952094 82100715 2.6864811604044 44 2.75825857094373 Autosome
7 LR999930.1 3.64418604651163 2.31506271904974 57.559 2.63697674418605 2.29594107158877 15.715213 98052809 3.66262932611858 45 2.86346739302865 Autosome
8 LR999931.1 3.53271186440678 1.98155531956894 54.073 3.79786885245902 2.81043004701777 15.572524 113768022 3.47233370775348 61 3.91715562615283 Autosome
9 LR999932.1 2.91820512820513 2.75100639173038 47.541 2.968 3.83864706401243 15.426761 129340546 3.08172272844572 41 2.65771927107706 Autosome
10 LR999933.1 3.61789473684211 1.99230639572233 56.321 3.08637931034483 2.43530083755354 15.296561 144767307 3.68193870504619 59 3.8570761101139 Autosome
11 LR999934.1 4.09125 2.15107316492712 54.065 3.7104 2.23307986123799 14.945938 160063868 3.61737082008503 26 1.7396030948342 Autosome
12 LR999935.1 4.10075471698113 0.970612116649559 60.885 3.95036363636364 1.80719340787532 14.868897 175009806 4.09478927724094 55 3.69899663707402 Autosome
13 LR999936.1 3.63708333333333 1.08648556664358 56.149 4.1098 1.61829147749176 14.774369 189878703 3.80043303372212 50 3.38423928629372 Autosome
14 LR999937.1 4.45277777777778 2.10285108945035 58.103 3.99875 2.25959615257401 14.615999 204653072 3.97530131193906 56 3.83141788665968 Autosome
15 LR999938.1 2.14282608695652 1.50755823627109 33.315 2.21647058823529 2.10543945391874 14.605406 219269071 2.28100471838989 52 3.56032553973508 Autosome
16 LR999939.1 3.60943396226415 0.912164406348438 52.162 3.38207547169811 1.33254435413345 13.916383 233874477 3.74824406600479 55 3.95217636651708 Autosome
17 LR999941.1 4.088 1.92769318763153 51.317 4.39309523809524 2.85382113382728 13.774036 247790860 3.72563277749528 42 3.0492152046067 Autosome
18 LR999942.1 3.30222222222222 1.90096373750609 52.862 3.97595744680851 2.62358007938246 13.550656 261564896 3.90106574914159 47 3.46846676647979 Autosome
19 LR999943.1 3.59441860465116 1.18478308709027 50.045 3.654 2.94059625988274 13.236624 275115552 3.78079788320647 45 3.39965840232373 Autosome
20 LR999944.1 3.80758620689655 2.3801045222733 41.592 4.84451612903226 2.69569018831873 12.933853 288352176 3.21574707861609 31 2.39681091164404 Autosome
21 LR999945.1 4.54822222222222 1.42995436813539 58.604 4.7736170212766 1.7799956344987 12.861081 301286029 4.55669317376976 47 3.65443620174696 Autosome
22 LR999946.1 4.03433333333333 1.780700527269 54.359 4.0803125 1.72763027028541 12.594674 314147110 4.31603072854446 33 2.62015515447244 Autosome
23 LR999947.1 4.48318181818182 2.41078802837349 49.347 4.13916666666667 2.27619231377214 11.704087 326741784 4.21621951374763 24 2.05056575536392 Autosome
24 LR999948.1 3.373 2.55839402751023 45.743 4.07095238095238 3.07931145674143 11.326783 338445871 4.03848118216796 22 1.94229906231981 Autosome
25 LR999949.1 5.54153846153846 5.38022900094077 25.477 3.65285714285714 1.33087263779145 11.199261 349772654 2.27488224446238 15 1.3393740890582 Autosome
26 LR999950.1 6.34282051282051 2.7192045554362 54.149 6.01825 2.6519889850682 9.960137 360971915 5.43657180619102 41 4.11640924216203 Autosome
27 LR999951.1 6.24761904761905 3.13057487494215 53.659 5.57590909090909 2.12140038898592 9.839934 370932052 5.45318698275822 23 2.33741405176092 Autosome
28 LR999952.1 7.29333333333333 5.36143565733026 45.505 7.42620689655172 4.84550484896871 8.262369 380771986 5.50750033071629 29 3.50988923394731 Autosome
29 LR999953.1 3.83 2.53858720551412 23.349 5.556 0.990164969420079 8.178468 389034355 2.85493566765805 11 1.34499517513549 Autosome
30 LR999954.1 8.564 1.18333990608503 49.499 8.00181818181818 2.36896947292201 7.379297 397212823 6.70782054171285 12 1.62617116508524 Autosome
31 LR999955.1 9.81 4.92019163389859 25.844 4.67285714285714 4.98406699488719 6.166334 404592120 4.19114501420131 10 1.62170910625341 Autosome
